name,address,website,tel,mapsUrl,openHours,category,rating
Ajans Bingöl,"Yenişehir, Buket Sk. No:5, 12000 Bingöl Merkez/Bingöl",ajansbingol.com,0543 375 37 74,"https://www.google.com/maps/place/Ajans+Bing%C3%B6l/@38.884124,40.4765145,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x4073cf92a8f9d1e5:0x6eb742f14905c460!8m2!3d38.884124!4d40.494024","Çarşamba,08:00 - 00:00; Perşembe,08:00 - 00:00; Cuma,08:00 - 00:00; Cumartesi,08:00 - 00:00; Pazar,08:00 - 00:00; Pazartesi,08:00 - 00:00; Salı,08:00 - 00:00.",Reklam Ajansı,"5,0"
Bingöl Ajans,"Bahçelievler, 57,, Cumhuriyet Cd. No:55, 12000 Bingöl Merkez/Bingöl",bingolajans.com,(0426) 213 28 13,"https://www.google.com/maps/place/Bing%C3%B6l+Ajans/@38.8853464,40.498291,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x4073cfedc93652cb:0x1e87ff767e75a946!8m2!3d38.8871711!4d40.4910532","Çarşamba,08:00 - 19:30; Perşembe,08:00 - 19:30; Cuma,08:00 - 19:30; Cumartesi,08:00 - 19:30; Pazar,Kapalı; Pazartesi,08:00 - 19:30; Salı,08:00 - 19:30.",Reklam Ajansı,"5,0"
Nasa Reklam Bingöl,"Bahçelievler, Cumhuriyet Cd. No:55, 12000 Bingöl Merkez/Bingöl",nasareklam.net,0544 213 28 13,"https://www.google.com/maps/place/Nasa+Reklam+Bing%C3%B6l/@38.8853464,40.498291,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x4073cfedc93652cb:0x7051a603540aeb6e!8m2!3d38.8871068!4d40.4911141","Çarşamba,08:00 - 19:00; Perşembe,08:00 - 19:00; Cuma,08:00 - 19:00; Cumartesi,08:00 - 19:00; Pazar,Kapalı; Pazartesi,08:00 - 19:00; Salı,08:00 - 19:00.",Reklam Ajansı,"5,0"
Detay Reklam,"İnönü Mahallesi Kültür Caddesi Kayalar Pasajı, 12000 Merkez",business.site,0505 581 08 98,"https://www.google.com/maps/place/Detay+Reklam/@38.8853464,40.498291,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x4073cf46bc4d5cd5:0xc628a9ccf19d76c!8m2!3d38.8864605!4d40.4966493","Çarşamba,08:00 - 20:00; Perşembe,08:00 - 20:00; Cuma,08:00 - 20:00; Cumartesi,08:00 - 20:00; Pazar,Kapalı; Pazartesi,08:00 - 20:00; Salı,08:00 - 20:00.",Reklam Ajansı,"5,0"
Arzen Bilişim Reklam Ajansı,"KÜLTÜR CAD. KÜLTÜR KAVŞAĞI SOK. AKB PLAZA NO:16 KAT:5, 12000 Merkez/Bingöl",arzenbilisim.com,0543 375 37 74,"https://www.google.com/maps/place/Arzen+Bili%C5%9Fim+Reklam+Ajans%C4%B1/@38.8853464,40.498291,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x4073cf6d41dabcf5:0x87510856d272b6e1!8m2!3d38.8852377!4d40.5083551","Çarşamba,24 saat açık; Perşembe,24 saat açık; Cuma,24 saat açık; Cumartesi,24 saat açık; Pazar,24 saat açık; Pazartesi,24 saat açık; Salı,24 saat açık.",Reklam Ajansı,"5,0"
MAS Reklam ve Bilişim Hizmetleri,"İnönü Mh Kültür Cd İklim Sk Demir Apt No:8, 12000", ,(0426) 214 14 41,"https://www.google.com/maps/place/MAS+Reklam+ve+Bili%C5%9Fim+Hizmetleri/@38.8853464,40.498291,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x4073cf930b533265:0xa4462fda227efe71!8m2!3d38.885329!4d40.499253","Çarşamba,09:00 - 19:00; Perşembe,09:00 - 19:00; Cuma,09:00 - 19:00; Cumartesi,09:00 - 19:00; Pazar,Kapalı; Pazartesi,09:00 - 19:00; Salı,09:00 - 19:00.",Reklam Ajansı, 
Ferhat Reklam Dijital Copy Center,"Yenişehir, Hastane Cd. No:10, 12000 Bingöl Merkez/Bingöl",ferhatreklam.com.tr,0541 213 25 42,"https://www.google.com/maps/place/Ferhat+Reklam+Dijital+Copy+Center/@38.8853464,40.498291,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x4073cfed38784de3:0xc8c6fe138e2a3fc6!8m2!3d38.8831674!4d40.4985952", ,Reklam Ajansı, 
websiten varmı,"Yenişehir Mh. Hastane Cd. Ceylan Apt. No:10/C, 12000 Bingöl",websitenvarmi.com,0531 497 52 83,"https://www.google.com/maps/place/websiten+varm%C4%B1/@38.8853464,40.498291,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x4073cf9215c7b7af:0xb38587eff7e16f70!8m2!3d38.883117!4d40.498637","Çarşamba,09:00 - 18:30; Perşembe,09:00 - 18:30; Cuma,09:00 - 18:30; Cumartesi,09:00 - 13:00; Pazar,Kapalı; Pazartesi,09:00 - 18:30; Salı,09:00 - 18:30.",Reklam Ajansı, 
Bin yıldız Reklam Bilgisayar,"İnönü, Genç Cd. No:90, 12000 Bingöl Merkez/Bingöl", ,0530 391 41 94,"https://www.google.com/maps/place/Bin+y%C4%B1ld%C4%B1z+Reklam+Bilgisayar/@38.8853464,40.498291,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x4073cfecdd228297:0x10d034539884ab02!8m2!3d38.8864854!4d40.4951234","Çarşamba,08:00 - 22:00; Perşembe,08:00 - 22:00; Cuma,08:00 - 22:00; Cumartesi,08:00 - 22:00; Pazar,08:00 - 22:00; Pazartesi,08:00 - 22:00; Salı,08:00 - 22:00.",Reklam Ajansı, 
Arzen Bingöl reklam Tabela 05433753774,"Kültür, Bingöl Merkez, 12000 Merkez/Bingöl",arzenbilisim.com, ,"https://www.google.com/maps/place/Arzen+Bing%C3%B6l+reklam+Tabela+05433753774/@38.8853464,40.498291,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x4073cfd82f9ddf8d:0x35bd3a689cfd6a8b!8m2!3d38.8853329!4d40.5083344","Çarşamba,09:00 - 20:00; Perşembe,09:00 - 20:00; Cuma,09:00 - 20:00; Cumartesi,09:00 - 20:00; Pazar,09:00 - 20:00; Pazartesi,09:00 - 20:00; Salı,09:00 - 20:00.",Reklam Ajansı,"5,0"
