name,address,website,tel,mapsUrl,openHours,category,rating
66 Perde,"Cedidiye, Kızılay Meydanı, Bayram Saniye Sk. No: 8/B, 81100 Düzce",66perde.business.site,0554 585 72 74,"https://www.google.com/maps/place/66+Perde/@40.843849,31.15654,14z/data=!4m8!1m2!2m1!1sperdeci!3m4!1s0x409d0aad4097d5d5:0x24068f0bb640ad8f!8m2!3d40.838147!4d31.159954","Salı,09:00 - 19:00; Çarşamba,09:00 - 19:00; Perşembe,09:00 - 19:00; Cuma,09:00 - 19:00; Cumartesi,09:00 - 19:00; Pazar,Kapalı; Pazartesi,09:00 - 19:00.",Perde Mağazası,"5,0"
Özçelik Perde,"Cedidiye, 5858 Sk. No:1/m, 81000 Merkez/Düzce", ,0532 100 78 23,"https://www.google.com/maps/place/%C3%96z%C3%A7elik+Perde/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sperdeci!3m4!1s0x409d755ad88f34a5:0xb76526be17643597!8m2!3d40.823834!4d31.175741","Salı,07:00 - 11:13; Çarşamba,07:00 - 11:13; Perşembe,07:00 - 11:13; Cuma,07:00 - 11:13; Cumartesi,07:00 - 11:13; Pazar,07:00 - 11:13; Pazartesi,07:00 - 11:13.",Perde Mağazası, 
Kocaoğlu Perde,"Camikebir, İstanbul Cd. No:107, 81020 Merkez/Düzce Merkez/Düzce", ,(0380) 523 37 58,"https://www.google.com/maps/place/Kocao%C4%9Flu+Perde/@40.8401839,31.1280871,14z/data=!4m8!1m2!2m1!1sperdeci!3m4!1s0x409d9fe19246a8ff:0x4458fecf89a87569!8m2!3d40.8401839!4d31.1455966","Salı,09:00 - 18:30; Çarşamba,09:00 - 18:30; Perşembe,09:00 - 18:30; Cuma,09:00 - 18:30; Cumartesi,09:00 - 18:30; Pazar,Kapalı; Pazartesi,09:00 - 18:30.",Perde Mağazası,"3,0"
GÜL PERDE,"Kültür, Akçakoca Cd. No:15, 81600 Düzce Merkez/Düzce", ,0554 867 35 10,"https://www.google.com/maps/place/G%C3%9CL+PERDE/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sperdeci!3m4!1s0x409d755a607fe7b5:0x6f94627a71b9798e!8m2!3d40.8402074!4d31.1594344","Salı,09:30 - 21:00; Çarşamba,09:30 - 21:00; Perşembe,09:30 - 21:00; Cuma,09:30 - 21:00; Cumartesi,09:30 - 21:00; Pazar,Kapalı; Pazartesi,09:30 - 21:00.",Ev Eşyaları Mağazası, 
Pırıltı Perde Evi,"Hamidiye, 1259. Sk. No: 5/a D:2, 81030 Düzce Merkez/Düzce", ,0544 212 63 13,"https://www.google.com/maps/place/P%C4%B1r%C4%B1lt%C4%B1+Perde+Evi/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sperdeci!3m4!1s0x409d0aaaec6765bb:0x2b8b63b8d33550ed!8m2!3d40.8510102!4d31.163322","Salı,09:00 - 19:00; Çarşamba,09:00 - 19:00; Perşembe,09:00 - 19:00; Cuma,09:00 - 19:00; Cumartesi,09:00 - 19:00; Pazar,Kapalı; Pazartesi,09:00 - 19:00.",Perde Mağazası,"5,0"
düzce perde,"Uzun Mustafa, Nezih Tütüncüoğlu Bulvari No:27, 81100 merkez/Düzce Merkez/Düzce", ,(0380) 514 66 16,"https://www.google.com/maps/place/d%C3%BCzce+perde/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sperdeci!3m4!1s0x409d9fe42611c2b5:0x289b0fbdd2e9e412!8m2!3d40.842725!4d31.140199", ,Mefruşatçı,"4,0"
Çetinkaya Perde Düzce,"Burhaniye, Atatürk Blv. 44/A, 81100 Düzce Merkez/Düzce", ,(0380) 514 28 58,"https://www.google.com/maps/place/%C3%87etinkaya+Perde+D%C3%BCzce/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sperdeci!3m4!1s0x409d75504ba6f58d:0xec7b30de198aed7a!8m2!3d40.842225!4d31.163789","Salı,08:00 - 21:00; Çarşamba,08:00 - 21:00; Perşembe,08:00 - 21:00; Cuma,08:00 - 21:00; Cumartesi,08:00 - 21:00; Pazar,10:30 - 20:00; Pazartesi,08:00 - 21:00.",Perde Mağazası,"4,8"
Velioğlu Perde,"İstanbul Caddesi Malatyalı Pasajı No:Z98/14, 81100 Merkez/Düzce", ,(0380) 514 21 81,"https://www.google.com/maps/place/Velio%C4%9Flu+Perde/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sperdeci!3m4!1s0x409d755a569a85f7:0x4baffc9796bc41aa!8m2!3d40.839609!4d31.158625","Salı,09:00 - 20:00; Çarşamba,09:00 - 20:00; Perşembe,09:00 - 20:00; Cuma,09:00 - 20:00; Cumartesi,09:00 - 20:00; Pazar,Kapalı; Pazartesi,09:00 - 20:00.",Perde Mağazası,"5,0"
Eda Perde,"Cedidiye Mah Mimar Sinan Cad, Necip Güney Sk. No:15, 81010 Merkez/Düzce", ,(0380) 514 84 24,"https://www.google.com/maps/place/Eda+Perde/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sperdeci!3m4!1s0x409d755361880a6d:0x220b1b8e9334ebdc!8m2!3d40.837066!4d31.1613134","Salı,09:00 - 19:00; Çarşamba,09:00 - 19:00; Perşembe,09:00 - 19:00; Cuma,09:00 - 19:00; Cumartesi,09:00 - 19:00; Pazar,Kapalı; Pazartesi,09:00 - 19:00.",Kumaş Mağazası,"4,3"
Beyaz Perde Tasarım Evi Düzce Merkez,"Kültür, Çamlı Sk. No:2, 81600 Düzce Merkez/Düzce", ,0539 791 67 25,"https://www.google.com/maps/place/Beyaz+Perde+Tasar%C4%B1m+Evi+D%C3%BCzce+Merkez/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sperdeci!3m4!1s0x409d7558a5410299:0xeca5e6e025599f5e!8m2!3d40.840608!4d31.1491458", ,Ev Eşyaları Mağazası,"5,0"
