name,address,website,tel,mapsUrl,openHours,category,rating
Et Dönerci,"Kültür, Malatyalı Pasajı, İstanbul Cd., 81100 Merkez/Düzce",etdonerci.com,(0380) 514 90 00,"https://www.google.com/maps/place/Et+D%C3%B6nerci/@40.843849,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d9fff35c8ad55:0x74df6bca310fe433!8m2!3d40.8395079!4d31.1586061","Pazartesi,10:00 - 22:00; Salı,10:00 - 22:00; Çarşamba,10:00 - 22:00; Perşembe,10:00 - 22:00; Cuma,10:00 - 22:00; Cumartesi,10:00 - 22:00; Pazar,10:00 - 22:00.",Fast food lokantası,"5,0"
Nasibim DÖNER,"Çay, Aydınpınar Cd., 81020 Merkez/Düzce",nasibim-doner.business.site,(0380) 524 14 54,"https://www.google.com/maps/place/Nasibim+D%C3%96NER/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d755cae64b6a3:0xe95479976d170621!8m2!3d40.8365261!4d31.1585595","Pazartesi,09:00 - 19:30; Salı,09:00 - 19:30; Çarşamba,09:00 - 19:30; Perşembe,09:00 - 19:30; Cuma,09:00 - 19:30; Cumartesi,09:00 - 19:30; Pazar,09:00 - 19:30.",Restoran,"4,2"
Namlı Döner,"Şerefiye, Gaziantep Cd. No:4, 81010 Düzce Merkez/Düzce",iyifirma.com,(0380) 523 50 43,"https://www.google.com/maps/place/Naml%C4%B1+D%C3%B6ner/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d755aeec489a9:0x3190f2c6a60fe0c3!8m2!3d40.83941!4d31.160942","Pazartesi,08:00 - 22:00; Salı,08:00 - 22:00; Çarşamba,08:00 - 22:00; Perşembe,08:00 - 22:00; Cuma,08:00 - 22:00; Cumartesi,08:00 - 22:00; Pazar,09:00 - 21:00.",Restoran,"4,6"
Rota Tavuk Doner,"Şerefiye, Rasim Betir Paşa Blv. No:7, 81010 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Rota+Tavuk+Doner/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d75516e7df75d:0x8c5efe54a8b87ee7!8m2!3d40.8439706!4d31.1630117","Pazartesi,09:00 - 20:00; Salı,09:00 - 20:00; Çarşamba,09:00 - 20:00; Perşembe,09:00 - 20:00; Cuma,09:00 - 20:00; Cumartesi,09:00 - 20:00; Pazar,Kapalı.",Restoran,"4,4"
Aydin döner,"Burhaniye, Bolu Cd., 81010 Düzce Merkez/Düzce",tikla.com.tr,(0380) 523 22 20,"https://www.google.com/maps/place/Aydin+d%C3%B6ner/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d7545171664bb:0xccacc6661a2ffdf!8m2!3d40.8385803!4d31.1634939","Pazartesi,08:00 - 20:00; Salı,08:00 - 20:00; Çarşamba,08:00 - 20:00; Perşembe,08:00 - 20:00; Cuma,08:00 - 20:00; Cumartesi,08:00 - 20:00; Pazar,08:00 - 20:00.",Restoran,"4,6"
Yaprak Döner,"Şerefiye, İstanbul Cad., 81010 Merkez/Düzce Merkez/Düzce", ,(0380) 524 66 50,"https://www.google.com/maps/place/Yaprak+D%C3%B6ner/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d755addf6a3f9:0x4e553f3188be9929!8m2!3d40.8392496!4d31.160137","Pazartesi,06:00 - 23:00; Salı,06:00 - 23:00; Çarşamba,06:00 - 23:00; Perşembe,06:00 - 23:00; Cuma,06:00 - 23:00; Cumartesi,06:00 - 23:00; Pazar,06:00 - 23:00.",Restoran,"4,1"
Aşan DÖNER,"Cedidiye camii yanında, 81020 Düzce Merkez/Düzce", ,0538 390 92 45,"https://www.google.com/maps/place/A%C5%9Fan+D%C3%96NER/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d753ce19b482d:0x48c88f1e5b608524!8m2!3d40.8381476!4d31.163152","Pazartesi,09:00 - 20:00; Salı,09:00 - 20:00; Çarşamba,09:00 - 20:00; Perşembe,09:00 - 20:00; Cuma,09:00 - 20:00; Cumartesi,09:00 - 20:00; Pazar,Kapalı.",Restoran,"4,2"
Öncü Döner,"Şerefiye, Gaziantep Cd. No:17, 81010 Merkez/Düzce Merkez/Düzce Merkez/Düzce",oncudoner.com,(0380) 525 05 30,"https://www.google.com/maps/place/%C3%96nc%C3%BC+D%C3%B6ner/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d755ae9b1a845:0xa68f5f312c2a03d6!8m2!3d40.8393898!4d31.1605835","Pazartesi,10:30 - 23:00; Salı,10:30 - 23:00; Çarşamba,10:30 - 23:00; Perşembe,10:30 - 23:00; Cuma,10:30 - 23:00; Cumartesi,10:30 - 23:00; Pazar,10:30 - 23:00.",Türkmen Restoranı,"3,6"
Ekrem Coşkun Döner Düzce,"Kültür, Spor Sk. No:4, 81600 Düzce Merkez/Düzce",ekremcoskundoner.com.tr,0544 323 81 81,"https://www.google.com/maps/place/Ekrem+Co%C5%9Fkun+D%C3%B6ner+D%C3%BCzce/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d75219619b05d:0x4ff02e199d2afce5!8m2!3d40.840036!4d31.1592199","Pazartesi,10:00 - 22:00; Salı,10:00 - 22:00; Çarşamba,10:00 - 22:00; Perşembe,10:00 - 22:00; Cuma,10:00 - 22:00; Cumartesi,10:00 - 22:00; Pazar,10:00 - 22:00.",Restoran,"4,0"
Doğan Döner,"Kültür, Kuyumcuzade Blv. No:29, 81600 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Do%C4%9Fan+D%C3%B6ner/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d9fe2a7cf1e67:0xe7cbe0ee2377c0c6!8m2!3d40.8431715!4d31.1512875","Pazartesi,08:00 - 21:00; Salı,08:00 - 21:00; Çarşamba,08:00 - 21:00; Perşembe,08:00 - 21:00; Cuma,08:00 - 21:00; Cumartesi,08:00 - 21:00; Pazar,08:00 - 21:00.",Restoran,"4,4"
Bereket Döner Düzce Krempark AVM Şubesi,"Merkez, İstanbul Cd. No:1 D:3, 81000 Düzce Merkez/Düzce",bereketdoner.com,(0380) 790 14 79,"https://www.google.com/maps/place/Bereket+D%C3%B6ner+D%C3%BCzce+Krempark+AVM+%C5%9Eubesi/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d7558db8ccc2f:0xcbf67f0d8cd9af99!8m2!3d40.8408393!4d31.1524147","Pazartesi,10:00 - 22:00; Salı,10:00 - 22:00; Çarşamba,10:00 - 22:00; Perşembe,10:00 - 22:00; Cuma,10:00 - 22:00; Cumartesi,10:00 - 22:00; Pazar,10:00 - 22:00.",Türk restoranı,"3,7"
Etibeyaz Düzce,"Şerefiye, İstanbul Cd. No:66, 81010 Düzce Merkez/Düzce", ,(0380) 524 40 10,"https://www.google.com/maps/place/Etibeyaz+D%C3%BCzce/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d755ae7572a71:0x95c25ee08ca96128!8m2!3d40.839109!4d31.160274","Pazartesi,08:30 - 21:00; Salı,08:30 - 21:00; Çarşamba,08:30 - 21:00; Perşembe,08:30 - 21:00; Cuma,08:30 - 21:00; Cumartesi,08:30 - 21:00; Pazar,Kapalı.",Et Lokantası,"4,4"
Afet Döner,"Kültür, Kuyumcuzade Blv. No:86, 81600 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Afet+D%C3%B6ner/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d755862f4378f:0xdc2ec592c078dc33!8m2!3d40.8416866!4d31.1508838","Pazartesi,09:00 - 20:00; Salı,09:00 - 20:00; Çarşamba,09:00 - 20:00; Perşembe,09:00 - 20:00; Cuma,09:00 - 20:00; Cumartesi,09:00 - 20:00; Pazar,09:00 - 20:00.",Restoran,"4,0"
Layt Tavuk İskender Döner,"Şerefiye, Gaziantep Cd. No:22, 81010 Düzce Merkez/Düzce", ,(0380) 514 55 66,"https://www.google.com/maps/place/Layt+Tavuk+%C4%B0skender+D%C3%B6ner/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d0aab45d7f2ed:0xfb0d239b842c00f8!8m2!3d40.8397703!4d31.1595897","Pazartesi,10:00 - 21:00; Salı,10:00 - 21:00; Çarşamba,10:00 - 21:00; Perşembe,10:00 - 21:00; Cuma,10:00 - 21:00; Cumartesi,10:00 - 21:00; Pazar,Kapalı.",Restoran,"3,3"
Mustafa'nınyeri,"Şerefiye, Gaziantep Cad./ümit Sok. No:1, 81010 Düzce Merkez/Düzce", ,(0380) 524 03 33,"https://www.google.com/maps/place/Mustafa'n%C4%B1nyeri/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d7565d5455929:0xcc490227a32709c0!8m2!3d40.8397618!4d31.1599535","Pazartesi,10:00 - 21:00; Salı,10:00 - 21:00; Çarşamba,10:00 - 21:00; Perşembe,10:00 - 21:00; Cuma,10:00 - 21:00; Cumartesi,10:00 - 21:00; Pazar,Kapalı.",Restoran,"3,2"
Doğan Kebap,"Şerefiye, Gaziantep Cd. No:37, 81010 Düzce Merkez/Düzce", ,(0380) 512 03 61,"https://www.google.com/maps/place/Do%C4%9Fan+Kebap/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d755ae922c5bb:0xfa0cc6ab3cf09e91!8m2!3d40.8397158!4d31.1595493","Pazartesi,07:30 - 22:00; Salı,07:30 - 22:00; Çarşamba,07:30 - 22:00; Perşembe,07:30 - 22:00; Cuma,07:30 - 22:00; Cumartesi,07:30 - 22:00; Pazar,Kapalı.",Kebap Restoranı,"4,1"
Cadde Döner,"Cedidiye, 81010 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Cadde+D%C3%B6ner/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d755ad69f876d:0x29a6917d267ac04e!8m2!3d40.8387086!4d31.1612778", ,Restoran, 
BURSADÖNER,"Şerefiye, Akçakoca Cd. No:4, 81010 Düzce Merkez/Düzce",bursadoner.business.site,(0380) 514 55 66,"https://www.google.com/maps/place/BURSAD%C3%96NER/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1zZMO2bmVyY2k!3m4!1s0x409d755af6727005:0x4ba841ce1330abc5!8m2!3d40.8396468!4d31.1594771","Pazartesi,08:30 - 21:30; Salı,08:30 - 21:30; Çarşamba,08:30 - 21:30; Perşembe,08:30 - 21:30; Cuma,08:30 - 21:30; Cumartesi,08:30 - 21:30; Pazar,08:30 - 21:30.",Restoran,"3,6"
