name,adress,website,tel,mapsUrl,openHours,category,rating
Nil Kitap Kırtasiye,"Adres: Cedidiye, Bolu Cad. Türkoğlu Sitesi 10/D, 81020 Düzce Merkez/Düzce ",,Telefon: (0380) 524 22 03 ,"https://www.google.com/maps/place/Nil+Kitap+K%C4%B1rtasiye/@40.8416102,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d755367304a69:0x219f33f7ed3cce8a!8m2!3d40.8384252!4d31.1635899",,Kitapçı,
Işık Kırtasiye,"Adres: Burhaniye, Atatürk Blv., 81010 Düzce Merkez/Düzce ",,,"https://www.google.com/maps/place/I%C5%9F%C4%B1k+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d754536dbcc4f:0x2ef5b3d917a1627e!8m2!3d40.8389876!4d31.1628455","Pazartesi,08:00 - 20:00; Salı,08:00 - 20:00; Çarşamba,08:00 - 20:00; Perşembe,08:00 - 20:00; Cuma,08:00 - 20:00; Cumartesi,08:00 - 20:00; Pazar,08:00 - 20:00. Haftalık çalışma saatlerini gizle",Kitapçı,"5,0"
Düzce İşler Kitabevleri,"Adres: Kültür Mahallesi İstanbul Caddesi No:90 Z:12/13 Eğilmez Pasajı, 81010 Merkez/Düzce ",Web sitesi: business.site ,Telefon: 0544 763 39 49 ,"https://www.google.com/maps/place/D%C3%BCzce+%C4%B0%C5%9Fler+Kitabevleri/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d75f887d84323:0x86cc0730a5a7e083!8m2!3d40.8394233!4d31.1591031","Pazartesi,08:30 - 20:00; Salı,08:30 - 20:00; Çarşamba,08:30 - 20:00; Perşembe,08:30 - 20:00; Cuma,08:30 - 20:00; Cumartesi,08:30 - 20:00; Pazar,10:00 - 19:00. Haftalık çalışma saatlerini gizle",Kitap Yayıncısı,"4,5"
Sümer Kırtasiye,"Adres: Burhaniye, Köprü Sk., 81010 Düzce Merkez/Düzce ",Web sitesi: sumerkirtasiye.com ,,"https://www.google.com/maps/place/S%C3%BCmer+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d75453d60e1d3:0x716b9359bbfdd4cd!8m2!3d40.8386197!4d31.1633633","Pazartesi,08:00 - 20:00; Salı,08:00 - 20:00; Çarşamba,08:00 - 20:00; Perşembe,08:00 - 20:00; Cuma,08:00 - 20:00; Cumartesi,09:00 - 20:00; Pazar,10:00 - 19:00. Haftalık çalışma saatlerini gizle",Kitapçı,"4,8"
Yonca Kitap Kırtasiye,"Adres: Şerefiye, Süleyman Kuyumcu Cad. No:17, 81010 Düzce Merkez/Düzce ",,Telefon: (0380) 524 50 30 ,"https://www.google.com/maps/place/Yonca+Kitap+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d7554a5865d7d:0x214e99cf3b7d1e7f!8m2!3d40.8405924!4d31.159664",,Kitapçı,"5,0"
Fatih Kırtasiye,"Adres: Şerefiye, İstanbul Cd., 81010 Düzce Merkez/Düzce ",,,"https://www.google.com/maps/place/Fatih+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d755ad243cbff:0x4d1bf1a14801991f!8m2!3d40.838876!4d31.161655","Pazartesi,08:00 - 20:30; Salı,08:00 - 20:30; Çarşamba,08:00 - 20:30; Perşembe,08:00 - 20:30; Cuma,08:00 - 20:30; Cumartesi,08:00 - 20:30; Pazar,08:30 - 20:30. Haftalık çalışma saatlerini gizle",Kitapçı,"4,3"
TveK Düzce,"Adres: Şerefiye, Atatürk Blv. 25/D, 81000 Merkez/Düzce Merkez/Düzce ",Web sitesi: tvek.com.tr ,Telefon: (0380) 524 77 22 ,"https://www.google.com/maps/place/TveK+D%C3%BCzce/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d7554b32978c1:0xf72ceba13049fe0e!8m2!3d40.8408022!4d31.1631506","Pazartesi,08:30 - 20:00; Salı,08:30 - 20:00; Çarşamba,08:30 - 20:00; Perşembe,08:30 - 20:00; Cuma,08:30 - 20:00; Cumartesi,08:30 - 20:00; Pazar,10:00 - 20:00. Haftalık çalışma saatlerini gizle",Kırtasiye Mağazası,"4,0"
Tusdata,"Adres: Kiremitocağı, İstanbul Cad. No:134, 81020 Düzce Merkez/Düzce ",Web sitesi: tus.com ,Telefon: (0380) 512 25 14 ,"https://www.google.com/maps/place/Tusdata/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d7558b015bafb:0x7424cabc93877886!8m2!3d40.8403268!4d31.1490985",,Kitapçı,"4,4"
Yerli Kırtasiye,"Adres: Burhaniye, Atatürk Blv., 81010 Düzce Merkez/Düzce ",,,"https://www.google.com/maps/place/Yerli+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d7553d1adc87f:0xf1318bffbe5beab3!8m2!3d40.844898!4d31.164696","Pazartesi,08:00 - 20:30; Salı,08:00 - 20:30; Çarşamba,08:00 - 20:30; Perşembe,08:00 - 20:30; Cuma,08:00 - 20:30; Cumartesi,08:00 - 20:30; Pazar,08:30 - 20:30. Haftalık çalışma saatlerini gizle",Kitapçı,
Akdoğan Kitap Kırtasiye,"Adres: Merkez, Eski İstanbul Cad. No:87, 81020 Düzce Merkez/Düzce ",,Telefon: (0380) 523 61 37 ,"https://www.google.com/maps/place/Akdo%C4%9Fan+Kitap+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d756cda403a2b:0xd8c3899add1abc71!8m2!3d40.8402413!4d31.1514382","Pazartesi,08:00 - 20:30; Salı,08:00 - 20:30; Çarşamba,08:00 - 20:30; Perşembe,08:00 - 20:30; Cuma,08:00 - 20:30; Cumartesi,08:00 - 20:30; Pazar,08:00 - 20:30. Haftalık çalışma saatlerini gizle",Kitapçı,"4,1"
İlim Kırtasiye,"Adres: Nusrettin, 220. Sk., 81010 Düzce Merkez/Düzce ",,,"https://www.google.com/maps/place/%C4%B0lim+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d75465b791fdf:0xa02ed55aa630f0ce!8m2!3d40.8365246!4d31.1694508",,Kitapçı,"4,6"
D&R,"Adres: Kültür Mah. İstanbul Cad. No:116/1B8, 81600 ",Web sitesi: dr.com.tr ,Telefon: (0380) 502 09 07 ,"https://www.google.com/maps/place/D%26R/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d755902555555:0xfdab67948df154f4!8m2!3d40.8406536!4d31.1525936",,Kitapçı,"3,2"
Taha Kırtasiye,"Adres: Şerefiye, Necatibey Sk., 81010 Düzce Merkez/Düzce ",,,"https://www.google.com/maps/place/Taha+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d7550606dd717:0x8e16f21d88f14514!8m2!3d40.841786!4d31.161759",,Kitapçı,
Melis Kırtasiye,"Adres: Kültür, 754. Sk., 81600 Düzce Merkez/Düzce ",,,"https://www.google.com/maps/place/Melis+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d755a7190c31d:0x6b18a5f0d28130db!8m2!3d40.840956!4d31.159201","Pazartesi,08:00 - 20:00; Salı,08:00 - 20:00; Çarşamba,08:00 - 20:00; Perşembe,08:00 - 20:00; Cuma,08:00 - 20:00; Cumartesi,08:00 - 20:00; Pazar,10:00 - 19:00. Haftalık çalışma saatlerini gizle",Kitapçı,"4,7"
Hakikat Kırtasiye,"Adres: Burhaniye, Şht. Ruhsar Cd, 81010 Düzce Merkez/Düzce ",,,"https://www.google.com/maps/place/Hakikat+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d754ff18321ed:0x534d2fc8a25d7114!8m2!3d40.840153!4d31.164971","Pazartesi,08:00 - 19:00; Salı,08:00 - 19:00; Çarşamba,08:00 - 19:00; Perşembe,08:00 - 19:00; Cuma,08:00 - 19:00; Cumartesi,08:00 - 19:30; Pazar,10:00 - 19:00. Haftalık çalışma saatlerini gizle",Kitapçı,"4,8"
Akteknik Kırtasiye,"Adres: Nusrettin, Bolu Cd., 81010 Düzce Merkez/Düzce ",,,"https://www.google.com/maps/place/Akteknik+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d7545cee21081:0x168ead0c0dae6877!8m2!3d40.8373329!4d31.1666503",,Kitapçı,"5,0"
Beyaz Kalem Kitabevi,"Adres: Uzun Mustafa, Kuyumcuzade Blv. No:70/1, 81010 Merkez/Düzce ",,Telefon: (0380) 512 00 58 ,"https://www.google.com/maps/place/Beyaz+Kalem+Kitabevi/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d752092aad603:0xbcf372f2211a3e41!8m2!3d40.8427261!4d31.151039",,Kitapçı,
Okur Kırtasiye,"Adres: Uzun Mustafa, Kuyumcuzade Blv., 81010 Düzce Merkez/Düzce ",Web sitesi: tikla.com.tr ,,"https://www.google.com/maps/place/Okur+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d755874cec787:0x3f24915d47b3f543!8m2!3d40.8426419!4d31.1510684","Pazartesi,08:00 - 20:30; Salı,08:00 - 20:30; Çarşamba,08:00 - 20:30; Perşembe,08:00 - 20:30; Cuma,08:00 - 20:30; Cumartesi,08:00 - 20:30; Pazar,10:00 - 20:30. Haftalık çalışma saatlerini gizle",Kitapçı,"4,5"
Genç Kırtasiye,"Adres: Uzun Mustafa, Uzunmustafa Cd., 81010 Düzce Merkez/Düzce ",,,"https://www.google.com/maps/place/Gen%C3%A7+K%C4%B1rtasiye/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d75587b1b72b5:0x4bc91b44a122bcd8!8m2!3d40.842013!4d31.150883","Pazartesi,08:00 - 20:00; Salı,08:00 - 20:00; Çarşamba,08:00 - 20:00; Perşembe,08:00 - 20:00; Cuma,08:00 - 20:00; Cumartesi,08:00 - 20:00; Pazar,09:00 - 20:00. Haftalık çalışma saatlerini gizle",Kitapçı,"4,2"
Ömür Hac Malzemeleri,"Adres: Karakol sokağı büyük camii karşısı no:3, Düzce Merkez/Düzce ",,,"https://www.google.com/maps/place/%C3%96m%C3%BCr+Hac+Malzemeleri/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1za2l0YXDDp8Sx!3m4!1s0x409d75ed6070566d:0x5b4fbdac59906a8a!8m2!3d40.83872!4d31.162609",,Dinî Kitap Mağazası,
