name,adress,website,tel,mapsUrl,openHours,category,rating
NANO BİLİŞİM-TEKNİK SERVIS İLETİŞİM HIZ.,"Kültür, Spor Sk. No:6, 81600 Düzce Merkez/Düzce",nano-bilisim.business.site,0507 469 57 69,"https://www.google.com/maps/place/NANO+B%C4%B0L%C4%B0%C5%9E%C4%B0M-TEKN%C4%B0K+SERVIS+%C4%B0LET%C4%B0%C5%9E%C4%B0M+HIZ./@40.8416102,31.1428242,14z/data=!4m8!1m2!2m1!1steknik+servis!3m4!1s0x409d75ca6464ec65:0x45fdf1c4bf656c08!8m2!3d40.840076!4d31.1591","Pazartesi,09:45 - 21:00; Salı,09:45 - 21:00; Çarşamba,09:45 - 21:00; Perşembe,09:45 - 21:00; Cuma,09:45 - 21:00; Cumartesi,09:45 - 21:00; Pazar,09:45 - 21:00.",Cep Telefonu Tamir Atölyesi,"3,0"
"Düzce Bosch Teknik Servis - Buzdolabı, Çamaşır ve Bulaşık Makinasi","Çay, Aydınpınar Cd. no:4, 81600 merkez/Düzce", ,(0380) 523 16 23,"https://www.google.com/maps/place/D%C3%BCzce+Bosch+Teknik+Servis+-+Buzdolab%C4%B1,+%C3%87ama%C5%9F%C4%B1r+ve+Bula%C5%9F%C4%B1k+Makinasi/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1steknik+servis!3m4!1s0x409d75839a656c43:0xec25465271516d99!8m2!3d40.836955!4d31.158034","Pazartesi,09:00 - 19:00; Salı,09:00 - 19:00; Çarşamba,09:00 - 19:00; Perşembe,09:00 - 19:00; Cuma,09:00 - 19:00; Cumartesi,09:00 - 19:00; Pazar,Kapalı.",Beyaz Eşya Tamirhanesi,"4,8"
Casper Yetkili Teknik Servis,"Kültür, Mansur Bayram Cd. No:28, 81010 Düzce Merkez/Düzce",sistemonline.com.tr,(0380) 523 40 86,"https://www.google.com/maps/place/Casper+Yetkili+Teknik+Servis/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1steknik+servis!3m4!1s0x409d756cc7ea286f:0xb03d6f2474a30261!8m2!3d40.842002!4d31.158681","Pazartesi,08:30 - 18:30; Salı,08:30 - 18:30; Çarşamba,08:30 - 18:30; Perşembe,08:30 - 18:30; Cuma,08:30 - 18:30; Cumartesi,08:30 - 18:30; Pazar,Kapalı.",Bilgisayar Servisi,"5,0"
Franke Yetkili Servis - Hızlı Teknik Servis,"Nusrettin, Hüseyin Remzi Sk. No:4/A, 81010 Merkez/Düzce",franke.com,(0380) 512 26 00,"https://www.google.com/maps/place/Franke+Yetkili+Servis+-+H%C4%B1zl%C4%B1+Teknik+Servis/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1steknik+servis!3m4!1s0x409d75c0dcc1e6df:0x6c1c2082250820bd!8m2!3d40.835886!4d31.174814","Pazartesi,08:30 - 18:00; Salı,08:30 - 18:00; Çarşamba,08:30 - 18:00; Perşembe,08:30 - 18:00; Cuma,08:30 - 18:00; Cumartesi,08:30 - 17:00; Pazar,Kapalı.",Beyaz Eşya Tamirhanesi,"3,5"
Adil İletişim Teknik Servis,"Şerefiye, Cumhuriyet Sk., 81010 Düzce Merkez/Düzce", ,0530 541 00 98,"https://www.google.com/maps/place/Adil+%C4%B0leti%C5%9Fim+Teknik+Servis/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1steknik+servis!3m4!1s0x409d755ac8be4dcd:0x5972c4e3e3a463a2!8m2!3d40.8393172!4d31.1616484","Pazartesi,09:00 - 20:00; Salı,09:00 - 20:00; Çarşamba,09:00 - 20:00; Perşembe,09:00 - 20:00; Cuma,09:00 - 20:00; Cumartesi,09:00 - 20:00; Pazar,Kapalı.",Telefon Onarım Hizmeti,"3,4"
Bosch Ev Aletleri Yetkili Servisi,"Cedidiye, Hükümet Sk. No:5/B, 81000 Düzce Merkez/Düzce",bosch-yetkiliservisi.com,444 6 333,"https://www.google.com/maps/place/Bosch+Ev+Aletleri+Yetkili+Servisi/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1steknik+servis!3m4!1s0x409d7544dcd58e61:0x8b1ede0444b6e01!8m2!3d40.837646!4d31.162204","Pazartesi,09:00 - 19:00; Salı,09:00 - 19:00; Çarşamba,09:00 - 19:00; Perşembe,09:00 - 19:00; Cuma,09:00 - 19:00; Cumartesi,09:00 - 19:00; Pazar,Kapalı.",Beyaz Eşya Tamirhanesi,"3,7"
Arçelik Yetkili Servis,"Cedidiye, Zaferi Milli Sk. No.11, 81400 Merkez/Düzce",arcelik.com.tr,(0380) 514 15 69,"https://www.google.com/maps/place/Ar%C3%A7elik+Yetkili+Servis/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1steknik+servis!3m4!1s0x409d7545ca1d9a01:0xcbfc982575adf125!8m2!3d40.836733!4d31.1654373","Pazartesi,10:00 - 22:00; Salı,10:00 - 22:00; Çarşamba,10:00 - 22:00; Perşembe,10:00 - 22:00; Cuma,10:00 - 22:00; Cumartesi,10:00 - 22:00; Pazar,10:00 - 22:00.",Beyaz Eşya Tamirhanesi,"4,7"
Asn Bilişim Teknik Servis Hizmetleri,"Cedidiye, Celal Kasapoğlu Cd. no 8/c, 81100 Merkez/Düzce",business.site,(0380) 512 80 90,"https://www.google.com/maps/place/Asn+Bili%C5%9Fim+Teknik+Servis+Hizmetleri/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1steknik+servis!3m4!1s0x409d756cc528caf9:0x865a0d126072883e!8m2!3d40.837295!4d31.164043","Pazartesi,09:00 - 19:00; Salı,09:00 - 19:00; Çarşamba,09:00 - 19:00; Perşembe,09:00 - 19:00; Cuma,09:00 - 19:00; Cumartesi,09:00 - 19:00; Pazar,Kapalı.",Elektronik Tamir Dükkanı,"4,8"
Yılmaz Teknik,"Şerefiye, Uzunzade Sk. No:18, 81010 Düzce Merkez/Düzce", ,(0380) 524 19 40,"https://www.google.com/maps/place/Y%C4%B1lmaz+Teknik/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1steknik+servis!3m4!1s0x409d75509501c5fb:0x9a49af2b4ab4c849!8m2!3d40.8402173!4d31.1624846","Pazartesi,09:00 - 18:00; Salı,09:00 - 18:00; Çarşamba,09:00 - 18:00; Perşembe,09:00 - 17:00; Cuma,09:00 - 18:00; Cumartesi,09:00 - 18:00; Pazar,Kapalı.",Beyaz Eşya Tamirhanesi,"5,0"
Vestel Düzce Yetkili Servisi (Doğuş Elektronik),"Merkez, CEDİDİYE MAH. NABİ SOKAK NO:5/A, HACI DAVUT CAMİİ KARŞISI, 81100 Düzce",business.site,(0380) 524 04 40,"https://www.google.com/maps/place/Vestel+D%C3%BCzce+Yetkili+Servisi+(Do%C4%9Fu%C5%9F+Elektronik)/@40.8416076,31.1428242,14z/data=!4m8!1m2!2m1!1steknik+servis!3m4!1s0x409d7544155a94d5:0x51241b033156b06b!8m2!3d40.8365208!4d31.1647674","Pazartesi,09:00 - 18:00; Salı,09:00 - 18:00; Çarşamba,09:00 - 18:00; Perşembe,09:00 - 18:00; Cuma,09:00 - 18:00; Cumartesi,09:00 - 18:00; Pazar,Kapalı.",Beyaz Eşya Tamirhanesi,"4,3"
