name,address,website,tel,mapsUrl,openHours,category,rating
En 1 Yapı Market,"Sancaklar, Akçakoca Yolu Üzeri No:83, 81100 Düzce Merkez/Düzce",en1.com.tr,(0380) 524 88 89,"https://www.google.com/maps/place/En+1+Yap%C4%B1+Market/@40.843849,31.15654,14z/data=!4m8!1m2!2m1!1syap%C4%B1+market!3m4!1s0x409d0aa9e4f2d2dd:0x9d4af4008860b2ee!8m2!3d40.8541661!4d31.1655386","Salı,08:00 - 20:00; Çarşamba,08:00 - 20:00; Perşembe,08:00 - 20:00; Cuma,08:00 - 20:00; Cumartesi,08:00 - 20:00; Pazar,09:00 - 19:00; Pazartesi,08:00 - 20:00.",Yapı Malzemeleri Mağazası,"4,4"
Yıltaş Yapı Market,"Fevzi çakmak mh. D-100 Karayolu Üzeri No:221, 81100 Düzce Merkez/Düzce",yiltas.com,444 4 095,"https://www.google.com/maps/place/Y%C4%B1lta%C5%9F+Yap%C4%B1+Market/@40.823976,31.1786196,14z/data=!4m8!1m2!2m1!1syap%C4%B1+market!3m4!1s0x409d74deefccd801:0xca75ac399dd425ed!8m2!3d40.823976!4d31.1961291","Salı,08:30 - 18:30; Çarşamba,08:30 - 18:30; Perşembe,08:30 - 18:30; Cuma,08:30 - 18:30; Cumartesi,08:30 - 18:30; Pazar,10:00 - 18:30; Pazartesi,08:30 - 18:30.",Yapı Malzemeleri Mağazası,"4,3"
Kaleyap Yapı Market | Marshall Bayi,"Aziziye, Şht. Ramazan Gel Cd. No:34, 81010 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Kaleyap+Yap%C4%B1+Market+%7C+Marshall+Bayi/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1syap%C4%B1+market!3m4!1s0x409d9fe92c7a3fe7:0x271629668d435878!8m2!3d40.8445023!4d31.1328808","Salı,08:00 - 20:00; Çarşamba,08:00 - 20:00; Perşembe,08:00 - 20:00; Cuma,08:00 - 20:00; Cumartesi,08:00 - 20:00; Pazar,10:30 - 18:30; Pazartesi,08:00 - 20:00.",Nalbur,"5,0"
Tekzen,"Yüksel İş Merkezi Burhaniye Mah. D-100 Karayolu Üzeri, Çoban Mevkii No:281/A, 81010 Merkez",tekzen.com.tr,(0380) 514 36 84,"https://www.google.com/maps/place/Tekzen/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1syap%C4%B1+market!3m4!1s0x409d755235cdb1fd:0x3c55a51867347e92!8m2!3d40.8452047!4d31.1651695","Salı,12:00 - 20:00; Çarşamba,12:00 - 20:00; Perşembe,12:00 - 20:00; Cuma,12:00 - 20:00; Cumartesi,12:00 - 20:00; Pazar,12:00 - 20:00; Pazartesi,12:00 - 20:00.",Yapı Malzemeleri Mağazası,"3,8"
CEO3 YAPI MARKET,"Merkez, KOÇYAZI MAH. ZAHİD KEVSERİ BULVARI KORU 2 SİTESİ, 81100 Düzce",ceo3yapi.business.site,(0380) 502 04 06,"https://www.google.com/maps/place/CEO3+YAPI+MARKET/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1syap%C4%B1+market!3m4!1s0x409d0aca9cc44c67:0xb787abe913f3a5c5!8m2!3d40.8446538!4d31.1851371","Salı,08:00 - 18:00; Çarşamba,08:00 - 18:00; Perşembe,08:00 - 18:00; Cuma,08:00 - 18:00; Cumartesi,08:00 - 18:00; Pazar,08:00 - 18:00; Pazartesi,08:00 - 18:00.",Yapı Malzemeleri Mağazası,"4,5"
CELFİ YAPI MARKET,"Merkez, 81100 Düzce Merkez/Düzce",celfi.com.tr,0850 532 4401,"https://www.google.com/maps/place/CELF%C4%B0+YAPI+MARKET/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1syap%C4%B1+market!3m4!1s0x409d9f98f97b682b:0x2db7ffb58287a1af!8m2!3d40.8494931!4d31.1075799","Salı,08:00 - 18:00; Çarşamba,08:00 - 18:00; Perşembe,08:00 - 18:00; Cuma,08:00 - 18:00; Cumartesi,08:00 - 18:00; Pazar,09:00 - 17:00; Pazartesi,08:00 - 18:00.",Yapı Malzemeleri Mağazası,"4,3"
Çakmak Yapı Market,"Yeni, D-100 Karayolu Cad. No:372, 81600 Düzce Merkez/Düzce",cakmakyapias.com,(0380) 524 88 88,"https://www.google.com/maps/place/%C3%87akmak+Yap%C4%B1+Market/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1syap%C4%B1+market!3m4!1s0x409d753800e27229:0x94afc4db4274be54!8m2!3d40.8482911!4d31.1541285","Salı,08:00 - 19:00; Çarşamba,08:00 - 19:00; Perşembe,08:00 - 19:00; Cuma,08:00 - 19:00; Cumartesi,08:00 - 19:00; Pazar,Kapalı; Pazartesi,08:00 - 19:00.",İnşaat Şirketi,"4,4"
Genç Karadeniz Yapı Market,"Zahid Kevseri Bulvarı No: 73/17, 81000 Merkez/Düzce", ,0539 231 45 51,"https://www.google.com/maps/place/Gen%C3%A7+Karadeniz+Yap%C4%B1+Market/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1syap%C4%B1+market!3m4!1s0x409d0b651b400d93:0xf8ac2e101ce8373e!8m2!3d40.8467469!4d31.1886799","Salı,08:00 - 19:00; Çarşamba,08:00 - 19:00; Perşembe,08:00 - 19:00; Cuma,08:00 - 19:00; Cumartesi,08:00 - 19:00; Pazar,10:00 - 19:00; Pazartesi,08:00 - 19:00.",Yapı Malzemeleri Mağazası,"4,8"
Koçtaş,"Fatih D100 Yanyolu Karayolu Cad. No:446, D:C, 81030 Düzce Merkez/Düzce",koctas.com.tr, ,"https://www.google.com/maps/place/Ko%C3%A7ta%C5%9F/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1syap%C4%B1+market!3m4!1s0x409d9fe27b10f723:0x86e1188dc74dc60b!8m2!3d40.8485013!4d31.1428505", ,Yapı Malzemeleri Mağazası,"3,6"
Bodapa Boya Yapı Malzemeleri Mobilya Aksesuarları Hırdavat Dağıtım Pazarlama,"Nusrettin, 219. Sk. No:8-12, 81010 Düzce Merkez/Düzce",business.site,(0380) 514 15 30,"https://www.google.com/maps/place/Bodapa+Boya+Yap%C4%B1+Malzemeleri+Mobilya+Aksesuarlar%C4%B1+H%C4%B1rdavat+Da%C4%9F%C4%B1t%C4%B1m+Pazarlama/@40.836321,31.1552545,14z/data=!4m8!1m2!2m1!1syap%C4%B1+market!3m4!1s0x409d7554ae360eff:0xe0ceff42316472fe!8m2!3d40.836321!4d31.172764","Salı,07:45 - 17:30; Çarşamba,07:45 - 17:30; Perşembe,07:45 - 17:30; Cuma,07:45 - 17:30; Cumartesi,07:45 - 17:30; Pazar,Kapalı; Pazartesi,07:45 - 17:30.",Toptancı,"5,0"
