name,address,website,tel,mapsUrl,openHours,category,rating
Met Ajans,"Gaziantep Cad. Çınlar Sok., Ayakkabıcılar İş Hanı Kat: 2 No: 10/205, 81000",duzcemetajans.com,0553 265 40 50,"https://www.google.com/maps/place/Met+Ajans/@40.843849,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d755abf10b7e1:0x3f4d36adeb5569d5!8m2!3d40.839723!4d31.1613889", ,Reklam Ajansı,"5,0"
ARN Ajans,"Şerefiye, Uzunzade Sk. No:16, 81100 Düzce Merkez/Düzce", ,0506 726 28 78,"https://www.google.com/maps/place/ARN+Ajans/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d755aa60741cb:0x42d89b9ea461bb4a!8m2!3d40.8400802!4d31.1625056", ,Reklam Ajansı, 
Gul Ajans Reklam Ltd.,"Şerefiye Serefiye M, Cengiz Topel Sk. No:4, 81030 Düzce Merkez/Düzce",kelebekscript.com.tr,(0380) 514 28 99,"https://www.google.com/maps/place/Gul+Ajans+Reklam+Ltd./@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d755a93a01a41:0xa7c3803e14c036b6!8m2!3d40.839964!4d31.1607299", ,Reklam Ajansı, 
Sinemarka Dijital Medya Ajansı,"Camikebir Mahallesi Rıhtım Caddesi No: 2 Pak Ekizceli İş Merkezi İç Kapı No:, D:126, 81020 Merkez/Düzce",sinemarka.com,0535 252 67 17,"https://www.google.com/maps/place/Sinemarka+Dijital+Medya+Ajans%C4%B1/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d75872de7dfe3:0x159b14432c67ca48!8m2!3d40.8375628!4d31.1584685","Perşembe,08:00 - 20:00; Cuma,08:00 - 20:00; Cumartesi,09:00 - 19:00; Pazar,Kapalı; Pazartesi,08:00 - 20:00; Salı,08:00 - 20:00; Çarşamba,08:00 - 20:00.",Reklam Ajansı,"5,0"
İstikbal Reklam Ajansı,"Şerefiye, Necatibey Sk. No:1, 81100 Düzce Merkez/Düzce",istikbalreklam.com,(0380) 512 07 89,"https://www.google.com/maps/place/%C4%B0stikbal+Reklam+Ajans%C4%B1/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d75505c4a265f:0x1559a54c8092f60c!8m2!3d40.841826!4d31.162299", ,Reklam Ajansı,"4,0"
bw. digital agency,"Şerefiye Mahallesi Rasim Betir Paşa Bulvarı 334 Sk. NO:16 Cengizler İş Merkezi Kat:3 Daire: 34, 81010 Düzce",bw.net.tr,(0380) 514 33 29,"https://www.google.com/maps/place/bw.+digital+agency/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d9fe1148c064f:0x8728fd0817fa382!8m2!3d40.8443238!4d31.1628873","Perşembe,09:00 - 18:00; Cuma,09:00 - 18:00; Cumartesi,09:00 - 13:00; Pazar,Kapalı; Pazartesi,09:00 - 18:00; Salı,09:00 - 18:00; Çarşamba,09:00 - 18:00.",Web Sitesi Tasarımcısı,"5,0"
Vega Medya Dijital Reklam Ajansı,"Camikebir, Eski Bağdat Cd. No:8, 81020, 81020 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Vega+Medya+Dijital+Reklam+Ajans%C4%B1/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d753f37288cc3:0x7d158e43e8a776fb!8m2!3d40.8400387!4d31.1490743", ,Reklam Ajansı, 
İstikbal Reklam Ajansı,"Cedidiye, Celal Kasapoğlu Cd. No:17/B, 81100 Merkez/Düzce",istikbalreklam.com,(0380) 512 07 89,"https://www.google.com/maps/place/%C4%B0stikbal+Reklam+Ajans%C4%B1/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d75445a288079:0x936651debfe9e60f!8m2!3d40.8372167!4d31.1643119","Perşembe,08:00 - 23:59; Cuma,08:00 - 23:59; Cumartesi,08:00 - 23:59; Pazar,08:00 - 23:59; Pazartesi,08:00 - 23:59; Salı,08:00 - 23:59; Çarşamba,08:00 - 23:59.",Reklam Ajansı, 
Sevgi Reklam,"Şerefiye mahallesi çınlar sokak ayakkabıcılar sitesi no:10/207, 0542 238 20 45, 81000 Düzce Merkez/Düzce",sevgireklam.com,0542 238 20 45,"https://www.google.com/maps/place/Sevgi+Reklam/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d755abf99ee25:0x87ba6e9371b3c46e!8m2!3d40.8397595!4d31.1614366","Perşembe,08:30 - 07:30; Cuma,08:30 - 07:30; Cumartesi,08:30 - 07:30; Pazar,Kapalı; Pazartesi,08:30 - 07:30; Salı,08:30 - 07:30; Çarşamba,08:30 - 07:30.",Reklam Ajansı, 
Olcay Reklam Grafik Tasarım Matbaa Hizmetleri,"Camikebir Mahallesi Rıhtım Caddesi Pak Ekizceli İş Merkezi No: 2 Kat 1, D:128, 81100 Merkez/Düzce",olcayreklam.com,0532 710 94 00,"https://www.google.com/maps/place/Olcay+Reklam+Grafik+Tasar%C4%B1m+Matbaa+Hizmetleri/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d9fe3efe77907:0x8a1ee3fa5ac3d8c!8m2!3d40.8375941!4d31.158474","Perşembe,09:00 - 18:00; Cuma,09:00 - 18:00; Cumartesi,09:00 - 13:00; Pazar,Kapalı; Pazartesi,09:00 - 18:00; Salı,09:00 - 18:00; Çarşamba,09:00 - 18:00.",Reklam Ajansı,"5,0"
Artı Reklam Tabela Matbaa Promosyon,"Şerifiye mah, Cengiz Topel Sk. 15/B, 81000 Merkez/Düzce",artireklamduzce.business.site,0555 595 86 13,"https://www.google.com/maps/place/Art%C4%B1+Reklam+Tabela+Matbaa+Promosyon/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d752d008b164d:0xdc5f32333b9ecdc3!8m2!3d40.8407385!4d31.1609315","Perşembe,09:00 - 19:00; Cuma,09:00 - 19:00; Cumartesi,09:30 - 18:00; Pazar,Kapalı; Pazartesi,09:00 - 19:00; Salı,09:00 - 19:00; Çarşamba,09:00 - 19:00.",Reklam Ajansı,"5,0"
"Ajans112 Reklam, Tasarım, Organizasyon ve Aracılık Hizmetleri","Yıldız Mahallesi, Çamlı Sokağı No:13, 34755 Kâğıthane/İstanbul",ajans112.com,0532 471 57 86,"https://www.google.com/maps/place/Ajans112+Reklam,+Tasar%C4%B1m,+Organizasyon+ve+Arac%C4%B1l%C4%B1k+Hizmetleri/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d752eadd100e9:0x25c5ef40517fe15!8m2!3d40.8450131!4d31.1595781", ,Reklam Ajansı, 
Serbay Interactive,"Merkez, Şerefiye Mh. Rasim Betir Paşa Bulvarı No:3 Kat:3/24, 81010 Düzce Merkez/Düzce",serbay.net,(0380) 523 27 73,"https://www.google.com/maps/place/Serbay+Interactive/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sajans!3m4!1s0x409d7559da996a0d:0x9b60e32a869137f7!8m2!3d40.8441237!4d31.1637553","Perşembe,09:00 - 18:00; Cuma,09:00 - 18:00; Cumartesi,09:00 - 18:00; Pazar,Kapalı; Pazartesi,09:00 - 18:00; Salı,09:00 - 18:00; Çarşamba,09:00 - 18:00.",Reklam Ajansı,"4,5"
