name,address,website,tel,mapsUrl,openHours,category,rating
TERMİNAL OTO YIKAMA,"Darıcı, 5719 cadde no 3, 81900 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/TERM%C4%B0NAL+OTO+YIKAMA/@40.843849,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d75fcdd7998bd:0x9fa9d802d1566430!8m2!3d40.83872!4d31.162609", ,Detaylı Araç Temizlik Hizmeti, 
KİRAZOĞLU OTOPARK VE OTO YIKAMA,"Burhaniye, General Kazım Sk. no 14, 81100 Merkez/Düzce", ,0531 393 30 78,"https://www.google.com/maps/place/K%C4%B0RAZO%C4%9ELU+OTOPARK+VE+OTO+YIKAMA/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d75c15187f9a1:0xdd3550907e9077b4!8m2!3d40.8396769!4d31.1641548", ,Araba Yıkama, 
Argun Oto Yıkama,"Cedidiye, Ferah Sk., 81020 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Argun+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d7544f3c4d05f:0x214ed2385c59e6b9!8m2!3d40.8373865!4d31.1627883", ,Araba Yıkama, 
Garaj Oto Kuaför,"Nusrettin, Ziya Gökalp Sk., 81010 Düzce Merkez/Düzce", ,0541 208 59 96,"https://www.google.com/maps/place/Garaj+Oto+Kuaf%C3%B6r/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d75459aac6d4f:0xb0e35e8b036bf5a4!8m2!3d40.8385124!4d31.1665935","Çarşamba,09:00 - 19:00; Perşembe,09:00 - 19:00; Cuma,09:00 - 19:00; Cumartesi,08:30 - 19:30; Pazar,Kapalı; Pazartesi,09:00 - 19:00; Salı,09:00 - 19:00.",Araba Yıkama,"5,0"
TURGUT OTO YIKAMA,"Şerefiye, Akçakoca Cd. No:32, 81010 Düzce Merkez/Düzce", ,0532 223 14 25,"https://www.google.com/maps/place/TURGUT+OTO+YIKAMA/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d752375abf7d3:0xd80abc02c30493d8!8m2!3d40.8414954!4d31.1605414", ,Araba Yıkama, 
Can Oto Yıkama,"Camikebir, Şen Sk., 81020 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Can+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d755bc87bfd53:0x8aea39a24af4919c!8m2!3d40.8393261!4d31.1564338", ,Araba Yıkama,"3,7"
Paşa Oto Yıkama,"Cedidiye, Hacı Yaver Sk., 81020 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/Pa%C5%9Fa+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d754452c21d63:0x83ef93477c95959a!8m2!3d40.837343!4d31.1648821", ,Araba Yıkama,"3,5"
Göktürkler oto yıkama,"Kültür Mahallesi Namık Kemal Sokak no no 42, 81600 Düzce Merkez/Düzce", ,0542 834 40 34,"https://www.google.com/maps/place/G%C3%B6kt%C3%BCrkler+oto+y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d75c47391dbed:0xc7188cf8a1264daa!8m2!3d40.84255!4d31.157435","Çarşamba,09:00 - 18:00; Perşembe,09:00 - 18:00; Cuma,09:00 - 18:00; Cumartesi,09:00 - 18:00; Pazar,Kapalı; Pazartesi,09:00 - 18:00; Salı,09:00 - 18:00.",Araba Yıkama,"5,0"
Rapido Car Wash Oto Yikama,"Kültür, İstanbul Cd. No:116, 81600 Düzce Merkez/Düzce",rapidocarwash.com,(0380) 790 12 16,"https://www.google.com/maps/place/Rapido+Car+Wash+Oto+Yikama/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d75591d703f89:0x6e69e0e6600a7546!8m2!3d40.8405029!4d31.1522333","Çarşamba,10:00 - 22:00; Perşembe,10:00 - 22:00; Cuma,10:00 - 22:00; Cumartesi,10:00 - 22:00; Pazar,10:00 - 22:00; Pazartesi,10:00 - 22:00; Salı,10:00 - 22:00.",Araba Yıkama,"4,1"
First Class Oto Yıkama,"Azmimilli, Serhat Sk., 81020 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/First+Class+Oto+Y%C4%B1kama/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1soto+y%C4%B1kama!3m4!1s0x409d75436bfb9257:0x1fadce08f90b8a2a!8m2!3d40.8352273!4d31.1586002", ,Araba Yıkama, 
