name,address,website,tel,mapsUrl,openHours,category,rating
Feraye gökçe kuaför,"Burhaniye, Bolu Cd. No:1, 81010 Düzce Merkez/Düzce", ,0534 581 11 16,"https://www.google.com/maps/place/Feraye+g%C3%B6k%C3%A7e+kuaf%C3%B6r/@40.843849,31.15654,14z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d7545303a50c3:0xd1f1ce434df342de!8m2!3d40.8390522!4d31.1628666","Perşembe,07:45 - 22:00; Cuma,07:45 - 22:00; Cumartesi,07:45 - 22:00; Pazar,07:45 - 22:00; Pazartesi,07:45 - 22:00; Salı,07:45 - 22:00; Çarşamba,07:45 - 22:00.",Kuaför,"4,5"
AÇELYA BAYAN KUAFÖRÜ,"Şerefiye, Atatürk Blv. No:1, 81010 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/A%C3%87ELYA+BAYAN+KUAF%C3%96R%C3%9C/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d75453406d30d:0x5ed418f053967c74!8m2!3d40.838983!4d31.162579", ,Kuaför, 
KUAFÖR SUNAY,"Cedidiye, Firuze Sk. No:8, 81020 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/KUAF%C3%96R+SUNAY/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d755b280bfa39:0xc44d0ac71522093e!8m2!3d40.838607!4d31.1607028", ,Kuaför,"5,0"
YELDA GÜL SAÇ&TÜRBAN TASARIM MERKEZİ,"Camikebir, Mareşal Fevzi Çakmak Sk. no 5, 81000 Merkez/Düzce",business.site,0541 512 17 13,"https://www.google.com/maps/place/YELDA+G%C3%9CL+SA%C3%87%26T%C3%9CRBAN+TASARIM+MERKEZ%C4%B0/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d75d950b3da45:0x47e01d15208b4ebf!8m2!3d40.8390441!4d31.1584496","Perşembe,08:00 - 20:00; Cuma,08:00 - 20:00; Cumartesi,08:00 - 20:00; Pazar,08:00 - 20:00; Pazartesi,08:00 - 20:00; Salı,08:00 - 20:00; Çarşamba,08:00 - 20:00.",Kuaför,"3,1"
Özen Bayan Kuaförü,"Hacı Hamdi Sk. No:7,Cedidiye Mahallesi, bulak işhanı zemin kat, 81020 merkez", ,0535 232 16 38,"https://www.google.com/maps/place/%C3%96zen+Bayan+Kuaf%C3%B6r%C3%BC/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d757d194b21a3:0xbfa67f53588adc43!8m2!3d40.8381061!4d31.1612958","Perşembe,09:30 - 19:00; Cuma,09:30 - 19:00; Cumartesi,09:30 - 19:00; Pazar,09:30 - 19:00; Pazartesi,09:30 - 19:00; Salı,Kapalı; Çarşamba,09:30 - 19:00.",Kuaför,"5,0"
Karizma Bayan Kuaförü,"Kültür, Mansur Bayram Cd., 81600 Düzce Merkez/Düzce", ,(0380) 514 19 63,"https://www.google.com/maps/place/Karizma+Bayan+Kuaf%C3%B6r%C3%BC/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d755a11884967:0x50e651e7ae619b8f!8m2!3d40.8410434!4d31.1582288","Perşembe,10:00 - 19:30; Cuma,10:00 - 19:30; Cumartesi,10:00 - 19:30; Pazar,10:00 - 19:30; Pazartesi,10:00 - 19:30; Salı,10:00 - 19:30; Çarşamba,10:00 - 19:30.",Kuaför,"5,0"
Kardeşler Bayan Kuaförü,"Camikebir, Mareşal Fevzi Çakmak Sok. No:9, 81020 Düzce Merkez/Düzce",firmasec.com,(0380) 523 73 82,"https://www.google.com/maps/place/Karde%C5%9Fler+Bayan+Kuaf%C3%B6r%C3%BC/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d7553636d7b27:0xf440ac3f7dab4c2b!8m2!3d40.8389646!4d31.1583634", ,Kuaför,"4,2"
DENİZ ERKEK KUAFÖRÜ,"Burhaniye, General Kazım Sk. No:5 D:1, 81010 Düzce Merkez/Düzce", ,0545 334 21 69,"https://www.google.com/maps/place/DEN%C4%B0Z+ERKEK+KUAF%C3%96R%C3%9C/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d756c57d5396d:0x180bbf9be88f1462!8m2!3d40.8390546!4d31.1638879", ,Kuaför,"5,0"
Damla Sac tasarım merkezi,"Burhaniye, Atatürk Blv., 81010 Düzce Merkez/Düzce", ,0544 464 66 54,"https://www.google.com/maps/place/Damla+Sac+tasar%C4%B1m+merkezi/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d75500f033325:0xdb0a9f291071bca9!8m2!3d40.8399953!4d31.1630573","Perşembe,08:00 - 18:00; Cuma,08:00 - 18:00; Cumartesi,08:00 - 18:00; Pazar,08:00 - 18:00; Pazartesi,08:00 - 18:00; Salı,Kapalı; Çarşamba,08:00 - 18:00.",Kuaför,"5,0"
Kuaför Hatice Düzce,"Şerefiye, Kuaför Hatice, Necatibey Sk. No:12D, 81010 Merkez/Düzce",business.site,0544 270 49 39,"https://www.google.com/maps/place/Kuaf%C3%B6r+Hatice+D%C3%BCzce/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d755a61af8afd:0x48ac1b872e2d0a34!8m2!3d40.842006!4d31.161979","Perşembe,10:00 - 18:00; Cuma,10:00 - 18:00; Cumartesi,10:00 - 18:00; Pazar,10:00 - 18:00; Pazartesi,09:00 - 18:00; Salı,Kapalı; Çarşamba,10:00 - 18:00.",Kuaför,"4,9"
Işık erkek kuaförü,"Şerefiye, Çınlar Sk., 81010 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/I%C5%9F%C4%B1k+erkek+kuaf%C3%B6r%C3%BC/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d75a85476f66d:0xe3061d9f8d18a6e8!8m2!3d40.8395867!4d31.1612211", ,Kuaför, 
Türkan Bayan Kuaförü,"Camikebir, Duman apartmanı, Alemdar Sk. D:kat 2, 81020 Merkez/Düzce", ,(0380) 523 01 30,"https://www.google.com/maps/place/T%C3%BCrkan+Bayan+Kuaf%C3%B6r%C3%BC/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d75e1c42db9f3:0x7bd3808ec8b0dcbc!8m2!3d40.8394339!4d31.1570761","Perşembe,09:00 - 20:00; Cuma,09:00 - 20:00; Cumartesi,09:00 - 20:00; Pazar,09:00 - 20:00; Pazartesi,09:00 - 20:00; Salı,Kapalı; Çarşamba,09:00 - 20:00.",Kuaför,"4,0"
MISS Kadın Kuaförü,"Cedidiye, Hükümet Sk. No:14, 81020 Düzce Merkez/Düzce", , ,"https://www.google.com/maps/place/MISS+Kad%C4%B1n+Kuaf%C3%B6r%C3%BC/@40.8400004,31.1541856,16z/data=!4m8!1m2!2m1!1za3VhZsO2cg!3m4!1s0x409d7544c0554727:0x82352e09e5af65ef!8m2!3d40.837257!4d31.1618248", ,Kuaför, 
